AccountName,Phone,Fax,AccountNumber,Website,AccountSite,TickerSymbol,Type,Ownership,Industry,Employees,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,CustomerPriority,NumberofLocations,UpsellOpportunity,Active
"Shenandoah Memorial Hospital, Inc.",540-459-1120,5404591121,1033166442,,,,Customer- Direct,Private,Healthcare,540,759 S Main St,Woodstock,VA,22664-1127,USA,759 S Main St,Woodstock,VA,22664-1127,USA,High,3,Maybe,Yes
Holy Cross Hospital,301-754-7246,3017547288,1043479918,,,,Customer- Direct,Private,Healthcare,306,1500 Forest Glen Rd,Silver Spring,MD,20910-1483,USA,1500 Forest Glen Rd,Silver Spring,MD,20910-1483,USA,Medium,2,Yes,Yes
Reston Hospital Center LLC,703-689-9000,7036899179,1053363853,,,,Customer- Direct,Private,Healthcare,3000,1850 Town Center Pkwy,Reston,VA,20190,USA,1850 Town Center Pkwy,Reston,VA,20190,USA,Low,1,No,Yes
Howard University Hospital,202-865-6620,2028654607,1053765123,,,,Customer- Direct,Private,Healthcare,40,2041 Georgia Ave NW,Washington,DC,20060-0001,USA,2041 Georgia Ave NW,Washington,DC,20060-0001,USA,High,3,Maybe,Yes
Carilion Medical Center,540-981-7000,,1033102942,,,,Customer- Direct,Private,Healthcare,20,1906 Belleview Ave SE,Roanoke,VA,24014-1838,USA,1906 Belleview Ave SE,Roanoke,VA,24014-1838,USA,High,3,Maybe,Yes
Anne Arundel Medical Center,443-481-1000,,1043554967,,,,Customer- Direct,Private,Healthcare,540,2001 Medical Pkwy,Annapolis,MD,21401-3280,USA,2001 Medical Pkwy,Annapolis,MD,21401-3280,USA,High,2,Maybe,Yes
Walter Reed National Military Medical Center,301-295-2552,3012952662,1053482141,,,,Customer- Direct,Private,Healthcare,306,8901 Wisconsin Ave,Bethesda,MD,20889-0001,USA,8901 Wisconsin Ave,Bethesda,MD,20889-0001,USA,Medium,1,Yes,Yes
Mid- Atlantic Medical Group LLC,032-436-7207,7032437503,1083055768,,,,Customer- Direct,Private,Healthcare,3000,3301 Wilson Blvd,Arlington,VA,22201-2228,USA,3301 Wilson Blvd,Arlington,VA,22201-2228,USA,Low,2,No,Yes
"Greater Baltimore Medical Center, Inc.",410-296-4616,4103375068,1457352213,,,,Customer- Direct,Private,Healthcare,40,6701 N Charles St,Towson,MD,21204-6808,USA,6701 N Charles St,Towson,MD,21204-6808,USA,High,1,Maybe,Yes
"Medical Associates of Central Virginia, Inc.",434-947-3944,4345442337,1578925558,,,,Customer- Direct,Private,Healthcare,20,2215 Landover Pl,Lynchburg,VA,24501-2115,USA,2215 Landover Pl,Lynchburg,VA,24501-2115,USA,High,3,No,Yes
"Winchester Medical Center, Inc.",540-536-8000,5405367681,1619928017,,,,Customer- Direct,Private,Healthcare,40,1840 Amherst St,Winchester,VA,22601-2808,USA,1840 Amherst St,Winchester,VA,22601-2808,USA,High,3,Maybe,Yes
